TaskItemId,ImageUrl,Polygon,ProductId,Classifications,Rotation,ShouldQa,TaskId
30428819,https://fileman.clobotics.cn/api/file/ac61a424461ac69e6e5a1cf8c0bb1564,"[[0.26063648391216937,0.089065757138855922],[0.98726756276812067,0.1260212147991594],[0.96876494569246263,0.49753369644379963],[0.23606130949640869,0.49826791083440169]]",1056817,[],0,False,325487
30428819,https://fileman.clobotics.cn/api/file/ac61a424461ac69e6e5a1cf8c0bb1564,"[[0.30344365350714753,0.49907787750339949],[0.28522417294050695,0.99912682512943962],[0.5413003932676127,0.998539453616958],[0.99863704869099157,0.98170147025915078],[1.0016494664304179,0.50044841103252335]]",1056817,[],0,False,325487
30428819,https://fileman.clobotics.cn/api/file/ac61a424461ac69e6e5a1cf8c0bb1564,"[[0.28993314903205258,0.22026537997587453],[0.30208368864583585,0.11556091676718937],[0.90994018668228582,0.1426823299069995],[0.90994018668228582,0.22980910425844348]]",1056824,[],0,False,325487
30428819,https://fileman.clobotics.cn/api/file/ac61a424461ac69e6e5a1cf8c0bb1564,"[[0.28777603181539574,0.23255805371485322],[0.91563150458272136,0.238921245100071],[0.910697473362546,0.30451106399385469],[0.28037498498513264,0.30989530285826972]]",1056824,[],0,False,325487
30428819,https://fileman.clobotics.cn/api/file/ac61a424461ac69e6e5a1cf8c0bb1564,"[[0.28810509672626605,0.32283146116887734],[0.28704780432194277,0.37317759081016116],[0.908173112312549,0.35668923335264074],[0.91335384509373341,0.31439848445396223]]",1056824,[],0,False,325487
30428819,https://fileman.clobotics.cn/api/file/ac61a424461ac69e6e5a1cf8c0bb1564,"[[0.2870970584500282,0.38615453880913553],[0.91724333142672121,0.36853339343468616],[0.91195686940510456,0.44405258789661195],[0.28815435085435148,0.48307083836860687]]",1056824,[],0,False,325487
30428819,https://fileman.clobotics.cn/api/file/ac61a424461ac69e6e5a1cf8c0bb1564,"[[0.34081950764590579,0.50023747007268338],[0.33218495301059875,0.5614220026228548],[0.946471839922442,0.581490529299311],[0.95510639455774915,0.51687966292633],[0.60108965451016072,0.5017058988538875]]",1056824,[],0,False,325487
30428819,https://fileman.clobotics.cn/api/file/ac61a424461ac69e6e5a1cf8c0bb1564,"[[0.33744706849087003,0.57149122855111145],[0.96124958704162333,0.59037102716659284],[0.95702041742433,0.6344238906027162],[0.34273353051248656,0.617641847388955]]",1056824,[],0,False,325487
30428819,https://fileman.clobotics.cn/api/file/ac61a424461ac69e6e5a1cf8c0bb1564,"[[0.33745261293948003,0.62813062439755574],[0.9718280555334663,0.64239536112925288],[0.96865617832049611,0.72588602611771513],[0.33322344332218673,0.7174950045108347]]",1056824,[],0,False,325487
30428819,https://fileman.clobotics.cn/api/file/ac61a424461ac69e6e5a1cf8c0bb1564,"[[0.31366132737796276,0.72868303332000861],[0.9702399104627385,0.73497629952516907],[0.97129720286706189,0.81343235154950289],[0.30943215776066951,0.81678876019225521]]",1056824,[],0,False,325487
30428819,https://fileman.clobotics.cn/api/file/ac61a424461ac69e6e5a1cf8c0bb1564,"[[0.3276004860742156,0.83143225831593],[0.31649891582882084,0.98806466164436857],[0.994928208602945,0.96163294358269469],[0.98629365396763791,0.82409011440990942]]",1056824,[],0,False,325487
30428820,https://fileman.clobotics.cn/api/file/29f63bb22911db481aee0b3dafcdb800,"[[0.24151731095001131,0.11190215552591537],[0.95941885348553879,0.14959182757682091],[0.96876494569246263,0.4998120918940015],[0.21200790729805341,0.49834366311279737]]",1056817,[],0,False,325487
30428820,https://fileman.clobotics.cn/api/file/29f63bb22911db481aee0b3dafcdb800,"[[0.30174569912300525,0.50066867534970383],[0.2610399415565578,0.99993446095910188],[1.0011446245828752,0.99846603217789776],[0.99559383946017743,0.50140288974030589]]",1056817,[],0,False,325487
30428820,https://fileman.clobotics.cn/api/file/29f63bb22911db481aee0b3dafcdb800,"[[0.26248810901037017,0.18150381986328912],[0.26856337881726183,0.13084036992360273],[0.90160915760570615,0.16140479686735193],[0.89667512638553093,0.20056289769946156]]",1056824,[],0,False,325487
30428820,https://fileman.clobotics.cn/api/file/29f63bb22911db481aee0b3dafcdb800,"[[0.26448632489291662,0.19396863691194211],[0.89821691213382471,0.20900636319138519],[0.90068392774391248,0.30347528144884972],[0.2522924400322234,0.31178126256533978]]",1056824,[],0,False,325487
30428820,https://fileman.clobotics.cn/api/file/29f63bb22911db481aee0b3dafcdb800,"[[0.25735516487129978,0.32585444310414152],[0.8969781239015332,0.31424375917767994],[0.898211631706577,0.40920215369554569],[0.24719243828080456,0.44809006835544835]]",1056824,[],0,False,325487
30428820,https://fileman.clobotics.cn/api/file/29f63bb22911db481aee0b3dafcdb800,"[[0.25335773616552804,0.46529955770004022],[0.90232564557786754,0.42400881057268724],[0.90047538387030168,0.49449339207048459],[0.24849752032001474,0.4976276638520305]]",1056824,[],0,False,325487
30428820,https://fileman.clobotics.cn/api/file/29f63bb22911db481aee0b3dafcdb800,"[[0.31560129400191045,0.5528864380492845],[0.3206319433582735,0.50101671549198645],[0.79045280842456045,0.50141880636452363],[0.92410874417617661,0.51508989603078825],[0.92920354449796638,0.59229134355792945]]",1056824,[],0,False,325487
30428820,https://fileman.clobotics.cn/api/file/29f63bb22911db481aee0b3dafcdb800,"[[0.31661383896972572,0.5669596185880863],[0.93762968711626327,0.60474467229593909],[0.94269241195533959,0.69079211901889837],[0.30547584432375774,0.6682865184674589]]",1056824,[],0,False,325487
